G,Date,Time,Opponent,result,Tm,Opp,W,L,Streak,Notes
29,"Thu, Dec 22, 2016",10:30p ET,Los Angeles Clippers,L,101,106,23,6,L 1,
30,"Fri, Dec 23, 2016",10:00p ET,Portland Trail Blazers,W,110,90,24,6,W 1,
31,"Sun, Dec 25, 2016",5:00p ET,Chicago Bulls,W,119,100,25,6,W 2,
32,"Wed, Dec 28, 2016",8:30p ET,Phoenix Suns,W,119,98,26,6,W 3,
33,"Fri, Dec 30, 2016",8:30p ET,Portland Trail Blazers,W,110,94,27,6,W 4,
34,"Sun, Jan 1, 2017",6:00p ET,Atlanta Hawks,L,112,114,27,7,L 1,
35,"Tue, Jan 3, 2017",8:30p ET,Toronto Raptors,W,110,82,28,7,W 1,
36,"Thu, Jan 5, 2017",9:00p ET,Denver Nuggets,W,127,99,29,7,W 2,
37,"Sat, Jan 7, 2017",8:30p ET,Charlotte Hornets,W,102,85,30,7,W 3,
38,"Tue, Jan 10, 2017",8:30p ET,Milwaukee Bucks,L,107,109,30,8,L 1,
39,"Thu, Jan 12, 2017",8:30p ET,Los Angeles Lakers,W,134,94,31,8,W 1,
40,"Sat, Jan 14, 2017",6:00p ET,Phoenix Suns,L,105,108,31,9,L 1,"at Mexico City, Mexico"
41,"Tue, Jan 17, 2017",8:30p ET,Minnesota Timberwolves,W,122,114,32,9,W 1,
42,"Thu, Jan 19, 2017",8:30p ET,Denver Nuggets,W,118,104,33,9,W 2,
43,"Sat, Jan 21, 2017",8:30p ET,Cleveland Cavaliers,W,118,115,34,9,W 3,
44,"Mon, Jan 23, 2017",7:30p ET,Brooklyn Nets,W,112,86,35,9,W 4,
45,"Tue, Jan 24, 2017",7:00p ET,Toronto Raptors,W,108,106,36,9,W 5,
46,"Fri, Jan 27, 2017",8:00p ET,New Orleans Pelicans,L,103,119,36,10,L 1,
47,"Sun, Jan 29, 2017",7:00p ET,Dallas Mavericks,L,101,105,36,11,L 2,
48,"Tue, Jan 31, 2017",8:30p ET,Oklahoma City Thunder,W,108,94,37,11,W 1,
49,"Thu, Feb 2, 2017",8:30p ET,Philadelphia 76ers,W,102,86,38,11,W 2,
50,"Sat, Feb 4, 2017",9:00p ET,Denver Nuggets,W,121,97,39,11,W 3,
51,"Mon, Feb 6, 2017",9:30p ET,Memphis Grizzlies,L,74,89,39,12,L 1,
52,"Wed, Feb 8, 2017",7:00p ET,Philadelphia 76ers,W,111,103,40,12,W 1,
53,"Fri, Feb 10, 2017",7:30p ET,Detroit Pistons,W,103,92,41,12,W 2,
54,"Sun, Feb 12, 2017",3:30p ET,New York Knicks,L,90,94,41,13,L 1,
55,"Mon, Feb 13, 2017",7:00p ET,Indiana Pacers,W,110,106,42,13,W 1,
56,"Wed, Feb 15, 2017",7:00p ET,Orlando Magic,W,107,79,43,13,W 2,
57,"Fri, Feb 24, 2017",10:30p ET,Los Angeles Clippers,W,105,97,44,13,W 3,
58,"Sun, Feb 26, 2017",3:30p ET,Los Angeles Lakers,W,119,98,45,13,W 4,
59,"Wed, Mar 1, 2017",8:30p ET,Indiana Pacers,W,100,99,46,13,W 5,
60,"Fri, Mar 3, 2017",9:30p ET,New Orleans Pelicans,W,101,98,47,13,W 6,
61,"Sat, Mar 4, 2017",9:00p ET,Minnesota Timberwolves,W,97,90,48,13,W 7,
62,"Mon, Mar 6, 2017",8:30p ET,Houston Rockets,W,112,110,49,13,W 8,
63,"Wed, Mar 8, 2017",8:30p ET,Sacramento Kings,W,114,104,50,13,W 9,
64,"Thu, Mar 9, 2017",8:00p ET,Oklahoma City Thunder,L,92,102,50,14,L 1,
65,"Sat, Mar 11, 2017",8:30p ET,Golden State Warriors,W,107,85,51,14,W 1,
66,"Mon, Mar 13, 2017",8:00p ET,Atlanta Hawks,W,107,99,52,14,W 2,
