text,date,id
thunder ain't gonna be the only thing clapping tonight,2016-11-03 19:58:12,794327852833509376
Thunder at Warriors tonight!!! Who ya got? RT for Thunder LIKE for Warriors pic.twitter.com/Dkmf35Lu30,2016-11-03 15:35:57,794261854784667648
Draymond Green: “We Want To Beat Them (Thunder) Bad” http://nbalead.com/2016/11/03/draymond-green-want-beat-thunder-bad/ …,2016-11-03 19:59:53,794328277708054528
"Football, basketball and election news this is the life go falcons,kings,cabs, nuggets and thunder going to be a long night!",2016-11-03 19:59:53,794328276852350976
"Oklahoma Thunder vs Golden State Warriors – Live Streaming – Nov 3,2016 http://www.nbarecap.com/oklahoma-thunder-vs-golden-state-warriors-live-streaming-nov-32016/ …pic.twitter.com/eDxMNF61dN",2016-11-03 19:59:53,794328276650987521
i hope Russ and the Thunder freaking work KD and the Warriors tonight,2016-11-03 19:59:52,794328271341035520
also I can't wait till the Thunder skeet all over Golden State tonight,2016-11-03 19:59:48,794328253137911808
Thunder vs Warriors later! Russ vs KD # ThunderUp,2016-11-03 19:59:45,794328241892835328
"Bersa Thunder 380 Plus, if you're into gun talk I can talk to you about my decision process",2016-11-03 19:59:44,794328239330250753
"Warriors vs Thunder tip-off at 1030, arghhh!",2016-11-03 19:59:40,794328220963401728
# TNF : Falcons at Buccaneers 5:25PM : Thunder at Warriors 7:30PM TONITE!!! *new party*… https://www.instagram.com/p/BMXghGCDAx7/,2016-11-03 19:59:40,794328219763834884
Ready for these games tonight! # Falcons # Bucs # Warriors # Thunder,2016-11-03 19:59:39,794328215166844929
Excited about this THUNDER game today. @ KDTrey5 you my nigga! I hate it have it have to be you,2016-11-03 19:59:33,794328193624743936
Gotta check that Thunder Warriors game for sure,2016-11-03 19:59:30,794328179783499776
Bucs/Falcons & Warriors/Thunder...gonna be a good night of sports for me,2016-11-03 19:59:29,794328173525762048
Really hope the thunder win so Russ can call KD a bitch for leaving lmaoooo,2016-11-03 19:59:28,794328170572853249
