G,Date,Time,Opponent,result,L,Streak,,,,,
65,"Thu, Mar 9, 2017",8:00p ET,Los Angeles Clippers,L,,98,114,36,29,L 4,
66,"Sat, Mar 11, 2017",9:00p ET,Atlanta Hawks,L,,90,107,36,30,L 5,
67,"Mon, Mar 13, 2017",8:00p ET,Milwaukee Bucks,W,,113,93,37,30,W 1,
68,"Wed, Mar 15, 2017",8:00p ET,Chicago Bulls,W,,98,91,38,30,W 2,
69,"Thu, Mar 16, 2017",7:30p ET,Atlanta Hawks,W,,103,91,39,30,W 3,
70,"Sat, Mar 18, 2017",9:00p ET,San Antonio Spurs,W,,104,96,40,30,W 4,
71,"Tue, Mar 21, 2017",8:00p ET,New Orleans Pelicans,L,,82,95,40,31,L 1,
72,"Thu, Mar 23, 2017",8:30p ET,San Antonio Spurs,L,,90,97,40,32,L 2,
73,"Sun, Mar 26, 2017",8:00p ET,Golden State Warriors,L,,94,106,40,33,L 3,
74,"Mon, Mar 27, 2017",10:30p ET,Sacramento Kings,L,,90,91,40,34,L 4,
75,"Wed, Mar 29, 2017",8:00p ET,Indiana Pacers,W,,110,97,41,34,W 1,
76,"Fri, Mar 31, 2017",8:00p ET,Dallas Mavericks,W,,99,90,42,34,W 2,
77,"Sun, Apr 2, 2017",3:30p ET,Los Angeles Lakers,L,,103,108,42,35,L 1,
78,"Tue, Apr 4, 2017",8:30p ET,San Antonio Spurs,L,OT,89,95,42,36,L 2,
79,"Wed, Apr 5, 2017",8:00p ET,Oklahoma City Thunder,L,,100,103,42,37,L 3,
80,"Fri, Apr 7, 2017",8:00p ET,New York Knicks,W,,101,88,43,37,W 1,
81,"Sun, Apr 9, 2017",6:00p ET,Detroit Pistons,L,,90,103,43,38,L 1,
82,"Wed, Apr 12, 2017",8:00p ET,Dallas Mavericks,L,,93,100,43,39,L 2,
